,Date,Predictions
1,1996-01-02,-0.000165848715922053
2,1996-01-03,0.00442843705411063
3,1996-01-04,0.00196006892836124
4,1996-01-05,0.00142209673403871
5,1996-01-08,0.00380888050525424
6,1996-01-09,0.000308768790875668
7,1996-01-10,0.00406210761811177
8,1996-01-11,0.00632971493102029
9,1996-01-12,0.00864016653480203
10,1996-01-15,0.00515762444701586
11,1996-01-16,0.0019036144445214
12,1996-01-17,0.00509516836455644
13,1996-01-18,0.00375819118253987
14,1996-01-19,0.00150878081873391
15,1996-01-22,0.00266119493721304
16,1996-01-23,-0.00439284804247392
17,1996-01-24,0.00183976051747137
18,1996-01-25,0.00149976653271073
19,1996-01-26,0.00442108517303235
20,1996-01-29,0.00367992246285415
21,1996-01-30,-0.000284577471467051
22,1996-01-31,-0.00274517146174566
23,1996-02-01,-0.00206854594069532
24,1996-02-02,0.00181224347251099
25,1996-02-05,0.0034024667205485
26,1996-02-06,-0.000626423811964589
27,1996-02-07,0.00209583592438362
28,1996-02-08,0.00208679184332903
29,1996-02-09,8.09597504928244e-05
30,1996-02-12,0.000308162414142163
31,1996-02-13,-0.00015567159171045
32,1996-02-14,0.000808357184360059
33,1996-02-15,0.00352055165885782
34,1996-02-16,0.000202850769957581
35,1996-02-20,0.00292703293648266
36,1996-02-21,-0.00174059329814519
37,1996-02-22,0.00365688177130206
38,1996-02-23,0.00490093663074331
39,1996-02-26,-0.00218436968580656
40,1996-02-27,0.00380815488387143
41,1996-02-28,0.00219718634148266
42,1996-02-29,0.00151641250496791
43,1996-03-01,0.00274755952543535
44,1996-03-04,-5.4067625679474e-05
45,1996-03-05,-0.0020542952808087
46,1996-03-06,0.00158091112199709
47,1996-03-07,0.00222563381478647
48,1996-03-08,0.00121196825108366
49,1996-03-11,-0.00602988184091573
50,1996-03-12,0.00434520024083251
51,1996-03-13,0.00389744019396957
52,1996-03-14,0.00337354128388547
53,1996-03-15,0.0068733305280454
54,1996-03-18,-0.00614380711160668
55,1996-03-19,0.00194660859963205
56,1996-03-20,0.000223190902510218
57,1996-03-21,0.00258824148973649
58,1996-03-22,0.00553168303226361
59,1996-03-25,0.00297638223286024
60,1996-03-26,0.00627444195226351
61,1996-03-27,0.00305320702224724
62,1996-03-28,0.00408001816314677
63,1996-03-29,0.00490008914208945
64,1996-04-01,0.00228735927042272
65,1996-04-02,0.00261163671279925
66,1996-04-03,0.00306639380513567
67,1996-04-04,0.00250514041358501
68,1996-04-08,0.00219841505332142
69,1996-04-09,-0.00233666670283733
70,1996-04-10,0.00544925308350108
71,1996-04-11,0.00459747817709619
72,1996-04-12,0.00197598165480834
73,1996-04-15,0.00363738146378362
74,1996-04-16,0.00660728269192249
75,1996-04-17,0.0025654025438763
76,1996-04-18,-0.00749068032475413
77,1996-04-19,0.00123834535423823
78,1996-04-22,0.0049294592949488
79,1996-04-23,0.000115440216280366
80,1996-04-24,0.00157364610533667
81,1996-04-25,-0.00261935317207795
82,1996-04-26,0.00201763410577354
83,1996-04-29,0.00185028756652088
84,1996-04-30,0.00208201301532023
85,1996-05-01,0.00221891255680457
86,1996-05-02,0.00168505305179497
87,1996-05-03,0.00294409328902331
88,1996-05-06,0.0033307479091994
89,1996-05-07,0.00342471912521786
90,1996-05-08,0.00317601949184229
91,1996-05-09,0.00397145653808008
92,1996-05-10,0.00308181398047317
93,1996-05-13,0.00272911517495039
94,1996-05-14,0.00323915098893923
95,1996-05-15,0.00239314465192471
96,1996-05-16,0.00278317120323031
97,1996-05-17,0.000543262741922156
98,1996-05-20,0.00159210376981033
99,1996-05-21,0.0015063012343092
100,1996-05-22,-0.000356742411307336
101,1996-05-23,-0.00104954734539671
102,1996-05-24,0.000720520179206909
103,1996-05-28,0.00261873788612722
104,1996-05-29,8.07397710414326e-05
105,1996-05-30,0.00107721825896283
106,1996-05-31,0.00184231968489359
107,1996-06-03,0.000330981778506629
108,1996-06-04,0.00248393461480841
109,1996-06-05,0.000573502888749138
110,1996-06-06,0.00242151658457618
111,1996-06-07,0.000580297280887657
112,1996-06-10,0.00122778827899165
113,1996-06-11,-0.00323292041174451
114,1996-06-12,0.00192751880100321
115,1996-06-13,0.00148081036465879
116,1996-06-14,0.000283598581289322
117,1996-06-17,0.00114859612693786
118,1996-06-18,0.00192724541347545
119,1996-06-19,0.000292955870771975
120,1996-06-20,0.000209443169060988
121,1996-06-21,0.000678131964332817
122,1996-06-24,0.000563995463761555
123,1996-06-25,0.00219044946609406
124,1996-06-26,0.00108151625634189
125,1996-06-27,0.00211659293270056
126,1996-06-28,0.00165084054942984
127,1996-07-01,-0.000245690327235803
128,1996-07-02,0.000213217978332643
129,1996-07-03,-0.000159714272927662
130,1996-07-05,0.000592339961649703
131,1996-07-08,0.00101787903156836
132,1996-07-09,-0.00067662810515474
133,1996-07-10,0.0021504294646311
134,1996-07-11,0.000691043339719724
135,1996-07-12,0.00583542679668242
136,1996-07-15,-0.00270078682440985
137,1996-07-16,0.00519310813487377
138,1996-07-17,-0.00255530728343329
139,1996-07-18,0.00413950449056012
140,1996-07-19,0.00563307892986167
141,1996-07-22,-0.00181688620236334
142,1996-07-23,-0.00554979160793084
143,1996-07-24,-0.00266156404434073
144,1996-07-25,-0.00054793043669551
145,1996-07-26,0.00281672721232288
146,1996-07-29,-0.00140001627753525
147,1996-07-30,-0.0075522585280707
148,1996-07-31,0.00114335905099779
149,1996-08-01,0.00225237446873723
150,1996-08-02,0.00126653611470645
151,1996-08-05,0.0012003604882383
152,1996-08-06,4.31034796614764e-05
