,Date,Predictions
1,1996-01-02,-0.000643278090727889
2,1996-01-03,0.000566431978587043
3,1996-01-04,0.000490580391043858
4,1996-01-05,-0.000408366808645259
5,1996-01-08,0.000114019815807362
6,1996-01-09,0.000136243170624098
7,1996-01-10,0.000641139050966558
8,1996-01-11,0.00233987169205855
9,1996-01-12,0.00236499063116864
10,1996-01-15,0.00245401151748547
11,1996-01-16,0.00136462313942004
12,1996-01-17,0.000765364568304389
13,1996-01-18,0.00143340712755329
14,1996-01-19,-0.000203705946541805
15,1996-01-22,0.000733238171103229
16,1996-01-23,0.000563192472631891
17,1996-01-24,0.000289089900573166
18,1996-01-25,0.00149707019467275
19,1996-01-26,0.000305042397504976
20,1996-01-29,-0.000578332773681346
21,1996-01-30,0.000935658912790192
22,1996-01-31,0.000134861025367177
23,1996-02-01,0.000443514692855184
24,1996-02-02,-0.00096155227819114
25,1996-02-05,-0.00142578428823279
26,1996-02-06,-5.33083509202471e-05
27,1996-02-07,-0.00021509631568071
28,1996-02-08,0.00115603692066197
29,1996-02-09,-0.00107881499534153
30,1996-02-12,-0.000216085053902715
31,1996-02-13,0.000114033694761077
32,1996-02-14,0.000534545228873766
33,1996-02-15,0.000168849128510718
34,1996-02-16,0.00081631907841344
35,1996-02-20,0.000904611169638618
36,1996-02-21,0.000417708629731322
37,1996-02-22,0.000708751576354111
38,1996-02-23,0.00225622378226033
39,1996-02-26,-0.000177242371537791
40,1996-02-27,3.16479950358977e-05
41,1996-02-28,0.00060889102895148
42,1996-02-29,0.00112190872121135
43,1996-03-01,0.000247237574878221
44,1996-03-04,0.000456413436031432
45,1996-03-05,0.000569430315772715
46,1996-03-06,-3.81764454611602e-05
47,1996-03-07,9.18698761155257e-05
48,1996-03-08,5.61308174572617e-05
49,1996-03-11,-0.000946434351748867
50,1996-03-12,0.000716879039551835
51,1996-03-13,0.00242149858307164
52,1996-03-14,-0.000425148885589912
53,1996-03-15,0.000860645607138217
54,1996-03-18,0.000698304263562788
55,1996-03-19,-0.000201772590416143
56,1996-03-20,-0.000190546524194573
57,1996-03-21,-0.000725141934334233
58,1996-03-22,0.000497117930059827
59,1996-03-25,0.00107491458725877
60,1996-03-26,0.000656307075969098
61,1996-03-27,-1.15318798904097e-05
62,1996-03-28,0.000347999747208519
63,1996-03-29,-0.000249651934947937
64,1996-04-01,0.00143967228982832
65,1996-04-02,0.000237436571089527
66,1996-04-03,0.000726622293800144
67,1996-04-04,0.000520687266605476
68,1996-04-08,0.000715854713447131
69,1996-04-09,0.00142186088323123
70,1996-04-10,-0.0001243717878767
71,1996-04-11,0.000803093668587994
72,1996-04-12,0.000498926002806382
73,1996-04-15,0.00177441639094184
74,1996-04-16,0.000782663505527048
75,1996-04-17,0.000112044140850899
76,1996-04-18,0.000753209975635136
77,1996-04-19,1.0074469513008e-05
78,1996-04-22,0.000752169036617258
79,1996-04-23,-0.000748543874247821
80,1996-04-24,-0.00120152504152364
81,1996-04-25,-0.00101078580001036
82,1996-04-26,-0.000192984680774162
83,1996-04-29,5.27717091488892e-05
84,1996-04-30,0.000538699219877004
85,1996-05-01,-0.000104376570265799
86,1996-05-02,0.000344458311475019
87,1996-05-03,0.000838845878406936
88,1996-05-06,0.000735648132133565
89,1996-05-07,0.00149283461573758
90,1996-05-08,-4.69784474868136e-05
91,1996-05-09,0.00186898457067633
92,1996-05-10,0.000442577841701522
93,1996-05-13,0.000720908228912392
94,1996-05-14,-0.00185188053805326
95,1996-05-15,-0.00105088821897816
96,1996-05-16,-0.00106827143381273
97,1996-05-17,-0.00200416510151441
98,1996-05-20,-0.00169813820249901
99,1996-05-21,-0.00136922357405402
100,1996-05-22,-0.00162371776701007
101,1996-05-23,6.24886546249283e-06
102,1996-05-24,0.000807785822319313
103,1996-05-28,-0.000869249374659353
104,1996-05-29,-0.000804994458304482
105,1996-05-30,0.00063602825104918
106,1996-05-31,0.00163039062200099
107,1996-06-03,0.0006236885568603
108,1996-06-04,0.00105252036053611
109,1996-06-05,0.00049985284661594
110,1996-06-06,0.00197443656950893
111,1996-06-07,0.000271045485256319
112,1996-06-10,3.98863802994845e-05
113,1996-06-11,0.000731431148831428
114,1996-06-12,0.000328753765674284
115,1996-06-13,0.000775110630123051
116,1996-06-14,0.000463193493169231
117,1996-06-17,-2.57229113514643e-05
118,1996-06-18,0.000500056056154251
119,1996-06-19,0.000836058112155974
120,1996-06-20,0.00146154393877954
121,1996-06-21,0.00162988114062351
122,1996-06-24,0.000666529036717325
123,1996-06-25,0.000575627845094473
124,1996-06-26,-8.6863950036869e-05
125,1996-06-27,-6.33136929760795e-06
126,1996-06-28,0.000558631412169439
127,1996-07-01,0.00140979470112846
128,1996-07-02,-0.000397130866403299
129,1996-07-03,0.000663161066887233
130,1996-07-05,0.000416635196089904
131,1996-07-08,-0.000684363528648092
132,1996-07-09,-0.000184774713507297
133,1996-07-10,0.00312725518563997
134,1996-07-11,0.00339471460473032
135,1996-07-12,0.00141408132265963
136,1996-07-15,0.0021735711465986
137,1996-07-16,0.00263018706239415
138,1996-07-17,0.00220068131397991
139,1996-07-18,0.00299901884367229
140,1996-07-19,0.00175398207864648
141,1996-07-22,0.0012834851947904
142,1996-07-23,0.00039690220660596
143,1996-07-24,0.00211529253439185
144,1996-07-25,-0.000602875975193729
145,1996-07-26,0.000945063034162959
146,1996-07-29,0.00155279349136147
147,1996-07-30,-0.000304182016756257
148,1996-07-31,-0.000366509162075908
149,1996-08-01,-0.00131067511655499
150,1996-08-02,-0.000317029705805629
