,Date,Predictions
1,1996-01-02,-0.000416814392345876
2,1996-01-03,-0.000485137466044091
3,1996-01-04,-0.000760665696694605
4,1996-01-05,-1.56486886856475e-05
5,1996-01-08,0.000147463360101549
6,1996-01-09,0.000200370674098191
7,1996-01-10,0.00102336335973947
8,1996-01-11,0.000960757628437544
9,1996-01-12,0.00285598791134423
10,1996-01-15,0.00218250200990736
11,1996-01-16,0.00169005496569182
12,1996-01-17,0.00108005621842353
13,1996-01-18,0.00287241111005842
14,1996-01-19,3.95785112415984e-05
15,1996-01-22,0.000475980983489214
16,1996-01-23,-0.000499584819873139
17,1996-01-24,0.00136950382677643
18,1996-01-25,6.1395156621478e-05
19,1996-01-26,-9.92189473704077e-05
20,1996-01-29,-0.000528281954109276
21,1996-01-30,0.0004364138068912
22,1996-01-31,-0.000178681407222653
23,1996-02-01,0.000130364767723595
24,1996-02-02,-0.000552054595787116
25,1996-02-05,-0.000580315294994133
26,1996-02-06,-0.000688255337676046
27,1996-02-07,-0.00031519948667973
28,1996-02-08,-0.000716164680288103
29,1996-02-09,-0.0013141987975648
30,1996-02-12,0.000369069876230769
31,1996-02-13,-1.52172281762647e-05
32,1996-02-14,0.00032188285173963
33,1996-02-15,0.00011523575338104
34,1996-02-16,0.000996922022384649
35,1996-02-20,0.00112376477085496
36,1996-02-21,0.000646409623076095
37,1996-02-22,0.000347069233845124
38,1996-02-23,0.000787589974360523
39,1996-02-26,-0.00115709524306661
40,1996-02-27,5.91494178816127e-05
41,1996-02-28,0.00119504619353962
42,1996-02-29,0.00187857051332711
43,1996-03-01,0.00135350525758489
44,1996-03-04,0.00148266814785496
45,1996-03-05,0.000425928751286741
46,1996-03-06,0.00122483548877535
47,1996-03-07,-0.0011739703309863
48,1996-03-08,0.000362039331022686
49,1996-03-11,0.00129956803782018
50,1996-03-12,0.00099440095558285
51,1996-03-13,0.0016137051040211
52,1996-03-14,0.000903428313666042
53,1996-03-15,0.000672487707591855
54,1996-03-18,0.000627099378894012
55,1996-03-19,0.000241320362038426
56,1996-03-20,-0.000218789736027087
57,1996-03-21,-0.00118956755539099
58,1996-03-22,-0.000892038176537996
59,1996-03-25,-9.68230527748513e-05
60,1996-03-26,0.000767192323836826
61,1996-03-27,0.000683641157207298
62,1996-03-28,-0.000131002180762792
63,1996-03-29,0.000508440833947187
64,1996-04-01,0.00224809480316991
65,1996-04-02,0.000118374254721963
66,1996-04-03,0.000695766218507347
67,1996-04-04,-0.000767677653056821
68,1996-04-08,2.26901291761564e-05
69,1996-04-09,0.000882599655368481
70,1996-04-10,0.00136152293363847
71,1996-04-11,0.00236083521605189
72,1996-04-12,0.00160267830111633
73,1996-04-15,0.00207151574525613
74,1996-04-16,0.00121486672615018
75,1996-04-17,0.00133583068091363
76,1996-04-18,-0.00117118457321083
77,1996-04-19,0.000255535194192849
78,1996-04-22,-0.000107090939573068
79,1996-04-23,0.000506801885232023
80,1996-04-24,-0.00119604752076695
81,1996-04-25,-0.000263999557749672
82,1996-04-26,-0.00101375248751622
83,1996-04-29,-0.000556620819988764
84,1996-04-30,-0.000217129003032397
85,1996-05-01,6.41182067831125e-05
86,1996-05-02,0.000401938324501672
87,1996-05-03,5.23383931521479e-05
88,1996-05-06,0.000312353652513325
89,1996-05-07,0.00164213607055371
90,1996-05-08,0.00150530190374389
91,1996-05-09,0.000878762931932008
92,1996-05-10,0.00095662998413853
93,1996-05-13,-0.00039893740122601
94,1996-05-14,0.00066761862612663
95,1996-05-15,-0.00129716933959395
96,1996-05-16,-0.000835481507552466
97,1996-05-17,-0.00129729484321229
98,1996-05-20,-0.00204214477444213
99,1996-05-21,-0.00192741743730679
100,1996-05-22,-0.0014066437446685
101,1996-05-23,0.000275356467899293
102,1996-05-24,-0.000697215909972846
103,1996-05-28,-0.000130612295502227
104,1996-05-29,0.000375637041309371
105,1996-05-30,0.000204573466275561
106,1996-05-31,0.000254698637456442
107,1996-06-03,0.000554810279747991
108,1996-06-04,0.00079882844438423
109,1996-06-05,0.000486595199830132
110,1996-06-06,0.00114988934933109
111,1996-06-07,0.000725767151542078
112,1996-06-10,-0.000728693962661118
113,1996-06-11,0.000960552930781188
114,1996-06-12,0.000803763944889627
115,1996-06-13,-0.000716379749192405
116,1996-06-14,0.000882240938835792
117,1996-06-17,0.00100334172712125
118,1996-06-18,0.00114884823176018
119,1996-06-19,0.000984046584777932
120,1996-06-20,0.000648333738517249
121,1996-06-21,0.001502666453197
122,1996-06-24,0.000841748248384044
123,1996-06-25,2.25258568475033e-05
124,1996-06-26,0.0011933128979776
125,1996-06-27,0.000139917598996377
126,1996-06-28,5.06923799668399e-05
127,1996-07-01,-0.000145212824347822
128,1996-07-02,-0.000704720712687289
129,1996-07-03,-3.16601726509007e-05
130,1996-07-05,-0.000997994240114045
131,1996-07-08,-0.000587056376800296
132,1996-07-09,0.000151412482225911
133,1996-07-10,0.00321017883061164
134,1996-07-11,0.00178283612957732
135,1996-07-12,0.00176382123406701
136,1996-07-15,0.00205950835606536
137,1996-07-16,0.00247563568351066
138,1996-07-17,0.00234362378935449
139,1996-07-18,0.00280150767752799
140,1996-07-19,0.0021808093448772
141,1996-07-22,0.000743658067171154
142,1996-07-23,0.000320191952070569
143,1996-07-24,-0.000865814842648988
144,1996-07-25,0.000681888636488124
145,1996-07-26,-0.000787862571010533
146,1996-07-29,0.000859957787737217
147,1996-07-30,-0.000563683228455579
148,1996-07-31,-0.00100777115085669
149,1996-08-01,-0.000147378036007528
150,1996-08-02,-0.00136705586771655
